Date,USDDR,JPYDR,USDJPYDRRatio,USDJPYEXClose
2/11/18,1.50%,-0.10%,-15,108.82
2/12/18,1.50%,-0.10%,-15,108.64
2/13/18,1.50%,-0.10%,-15,107.82
2/14/18,1.50%,-0.10%,-15,107
2/15/18,1.50%,-0.10%,-15,106.11
2/16/18,1.50%,-0.10%,-15,106.3
2/17/18,1.50%,-0.10%,-15,106.3
2/18/18,1.50%,-0.10%,-15,106.17
2/19/18,1.50%,-0.10%,-15,106.59
2/20/18,1.50%,-0.10%,-15,107.31
2/21/18,1.50%,-0.10%,-15,107.76
2/22/18,1.50%,-0.10%,-15,106.74
2/23/18,1.50%,-0.10%,-15,106.88
2/24/18,1.50%,-0.10%,-15,106.88
2/25/18,1.50%,-0.10%,-15,107.09
2/26/18,1.50%,-0.10%,-15,106.92
2/27/18,1.50%,-0.10%,-15,107.31
2/28/18,1.50%,-0.10%,-15,106.67
3/1/18,1.75%,-0.10%,-17.5,106.23
3/2/18,1.75%,-0.10%,-17.5,105.73
3/3/18,1.75%,-0.10%,-17.5,105.73
3/4/18,1.75%,-0.10%,-17.5,105.54
3/5/18,1.75%,-0.10%,-17.5,106.19
3/6/18,1.75%,-0.10%,-17.5,106.11
3/7/18,1.75%,-0.10%,-17.5,106.06
3/8/18,1.75%,-0.10%,-17.5,106.2
3/9/18,1.75%,-0.10%,-17.5,106.77
3/10/18,1.75%,-0.10%,-17.5,106.77
3/11/18,1.75%,-0.10%,-17.5,106.82
3/12/18,1.75%,-0.10%,-17.5,106.41
3/13/18,1.75%,-0.10%,-17.5,106.56
3/14/18,1.75%,-0.10%,-17.5,106.32
3/15/18,1.75%,-0.10%,-17.5,106.33
3/16/18,1.75%,-0.10%,-17.5,106
3/17/18,1.75%,-0.10%,-17.5,106
3/18/18,1.75%,-0.10%,-17.5,105.96
3/19/18,1.75%,-0.10%,-17.5,106.08
3/20/18,1.75%,-0.10%,-17.5,106.53
3/21/18,1.75%,-0.10%,-17.5,106.04
3/22/18,1.75%,-0.10%,-17.5,105.26
3/23/18,1.75%,-0.10%,-17.5,104.72
3/24/18,1.75%,-0.10%,-17.5,104.72
3/25/18,1.75%,-0.10%,-17.5,104.72
3/26/18,1.75%,-0.10%,-17.5,105.4
3/27/18,1.75%,-0.10%,-17.5,105.33
3/28/18,1.75%,-0.10%,-17.5,106.85
3/29/18,1.75%,-0.10%,-17.5,106.42
3/30/18,1.75%,-0.10%,-17.5,106.26
3/31/18,1.75%,-0.10%,-17.5,106.26
4/1/18,1.75%,-0.10%,-17.5,106.28
4/2/18,1.75%,-0.10%,-17.5,105.88
4/3/18,1.75%,-0.10%,-17.5,106.59
4/4/18,1.75%,-0.10%,-17.5,106.77
4/5/18,1.75%,-0.10%,-17.5,107.37
4/6/18,1.75%,-0.10%,-17.5,106.91
4/7/18,1.75%,-0.10%,-17.5,106.91
4/8/18,1.75%,-0.10%,-17.5,106.98
4/9/18,1.75%,-0.10%,-17.5,106.75
4/10/18,1.75%,-0.10%,-17.5,107.19
4/11/18,1.75%,-0.10%,-17.5,106.78
4/12/18,1.75%,-0.10%,-17.5,107.32
4/13/18,1.75%,-0.10%,-17.5,107.33
4/14/18,1.75%,-0.10%,-17.5,107.33
4/15/18,1.75%,-0.10%,-17.5,107.5
4/16/18,1.75%,-0.10%,-17.5,107.1
4/17/18,1.75%,-0.10%,-17.5,106.99
4/18/18,1.75%,-0.10%,-17.5,107.23
4/19/18,1.75%,-0.10%,-17.5,107.36
4/20/18,1.75%,-0.10%,-17.5,107.65
4/21/18,1.75%,-0.10%,-17.5,107.65
4/22/18,1.75%,-0.10%,-17.5,107.84
4/23/18,1.75%,-0.10%,-17.5,108.7
4/24/18,1.75%,-0.10%,-17.5,108.81
4/25/18,1.75%,-0.10%,-17.5,109.41
4/26/18,1.75%,-0.10%,-17.5,109.29
4/27/18,1.75%,-0.10%,-17.5,109.03
4/28/18,1.75%,-0.10%,-17.5,109.03
4/29/18,1.75%,-0.10%,-17.5,109.1
4/30/18,1.75%,-0.10%,-17.5,109.33
5/1/18,1.75%,-0.10%,-17.5,109.85
5/2/18,1.75%,-0.10%,-17.5,109.83
5/3/18,2.00%,-0.10%,-20,109.18
5/4/18,2.00%,-0.10%,-20,109.11
5/5/18,2.00%,-0.10%,-20,109.11
5/6/18,2.00%,-0.10%,-20,109.11
5/7/18,2.00%,-0.10%,-20,109.08
5/8/18,2.00%,-0.10%,-20,109.11
5/9/18,2.00%,-0.10%,-20,109.74
5/10/18,2.00%,-0.10%,-20,109.38
5/11/18,2.00%,-0.10%,-20,109.38
5/12/18,2.00%,-0.10%,-20,109.38
5/13/18,2.00%,-0.10%,-20,109.38
5/14/18,2.00%,-0.10%,-20,109.65
5/15/18,2.00%,-0.10%,-20,110.34
5/16/18,2.00%,-0.10%,-20,110.38
5/17/18,2.00%,-0.10%,-20,110.76
5/18/18,2.00%,-0.10%,-20,110.74
5/19/18,2.00%,-0.10%,-20,110.74
5/20/18,2.00%,-0.10%,-20,110.88
5/21/18,2.00%,-0.10%,-20,111.04
5/22/18,2.00%,-0.10%,-20,110.88
5/23/18,2.00%,-0.10%,-20,110.07
5/24/18,2.00%,-0.10%,-20,109.24
5/25/18,2.00%,-0.10%,-20,109.38
5/26/18,2.00%,-0.10%,-20,109.38
