LID,Name,Currency,Description
6,EGY,EGP,"Egypt, Egyptian Pound"
18,NON,NON,No locale association
29,TUR,TRY,"Turkey, Turkish Lira"
3,CAN,CAD,"Canada, Canadian Dollar"
11,IND,INR,"India, Indian Rupee"
15,MEX,MXN,"Mexico, Mexican Peso"
19,NOR,NOK,"Norway, Norwegian Krone"
1,AUS,AUD,"Australia, Australian Dollar"
8,GBR,GBP,"United Kingdom, British Pound"
14,KOR,KRW,"South Korea, South Korean Won"
17,NGA,NGN,"Nigeria, Nigerian Naira"
20,NZL,NZD,"New Zealand, New Zealand Dollar"
21,PAK,PKR,"Pakistan, Pakistani Rupee"
22,PHL,PHP,"Philippines, Philippine Peso"
27,SWE,SEK,"Sweden, Swedish Krona"
2,BRA,BRL,"Brazil, Brazilian Real"
10,IDN,IDR,"Indonesia, Indonesian Rupiah"
16,MYS,MYR,"Malaysia, Malaysian Ringgit"
26,SGP,SGD,"Singapore, Singapore Dollar"
13,JPN,JPY,"Japan, Japanese Yen"
24,RUS,RUB,"Russia, Russian Ruble"
25,SAU,SAR,"Saudi Arabia, Saudi Riyal"
31,ZAF,ZAR,"South Africa, South African Rand"
23,POL,PLN,"Poland, Polish Zloty"
28,THA,THB,"Thailand, Thai Baht"
30,USA,USD,"United States of America, US Dollar"
9,HKG,HKD,"Hong Kong, Hong Kong Dollar"
12,ISR,ILS,"Israel, Israeli New Shekel"
4,CHN,CNY,"China, Chinese Yuan"
5,DNK,DKK,"Denmark, Danish Krone"
7,EUR,EUR,"Eurozone, Euro"
