Name,Metric,Subclass,LocaleType,Blocs,Predictor,MinDelta1,MaxDelta1,MinDelta2,MaxDelta2,FitnessW1,FitnessW2,HoldWindowPos,HoldWindowNeg,MetricType
LA,LSNScore,LSMInfluencer,LocaleNone,,SingleValLT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,2
LB,LSPScore,LSMInfluencer,LocaleNone,,SingleValGT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,2
LG,WDECount,LSMInfluencer,LocaleNone,,SingleValGT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,2
LH,WDFCount,LSMInfluencer,LocaleNone,,SingleValGT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,2
LJ,WDMCount,LSMInfluencer,LocaleNone,,SingleValGT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,2
LI,WDPCount,LSMInfluencer,LocaleNone,,SingleValGT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,2
LC,WHAScore,LSMInfluencer,LocaleNone,,SingleValGT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,2
LE,WHLScore,LSMInfluencer,LocaleNone,,SingleValLT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,2
LD,WHOScore,LSMInfluencer,LocaleNone,,SingleValGT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,2
LF,WPAScore,LSMInfluencer,LocaleNone,,SingleValLT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,1
,BC,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-180,-90,-60,-30,0.6,0.4,0.001,-0.001,1
,CC,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-180,-90,-60,-30,0.6,0.4,0.001,-0.001,1
,CU,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-180,-90,-60,-30,0.6,0.4,0.001,-0.001,1
,DR,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-30,-6,-5,-1,0.6,0.4,0.001,-0.001,1
,GD,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-730,-630,-180,-120,0.6,0.4,0.001,-0.001,1
,HS,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-180,-90,-60,-30,0.6,0.4,0.001,-0.001,1
,IE,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-180,-90,-60,-30,0.6,0.4,0.001,-0.001,1
,IP,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-180,-90,-60,-30,0.6,0.4,0.001,-0.001,1
,IR,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-180,-90,-60,-30,0.6,0.4,0.001,-0.001,1
L9,LIMCount_ECON,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-90,-15,-14,-1,0.6,0.4,0.001,-0.001,2
L1,LSNScore_ECON,LSMInfluencer,LocaleC1C2,,C1C2RatioLT,-90,-15,-14,-1,0.6,0.4,0.001,-0.001,2
L0,LSPScore_ECON,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-90,-15,-14,-1,0.6,0.4,0.001,-0.001,2
,M1,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-180,-90,-60,-30,0.6,0.4,0.001,-0.001,1
,M2,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-180,-90,-60,-30,0.6,0.4,0.001,-0.001,1
,MP,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-180,-90,-60,-30,0.6,0.4,0.001,-0.001,1
,RS,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-180,-90,-60,-30,0.6,0.4,0.001,-0.001,1
,SP,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-90,-21,-20,-1,0.6,0.4,0.001,-0.001,1
,UR,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-180,-90,-60,-30,0.6,0.4,0.001,-0.001,1
L6,WDECount_ECON,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,2
L7,WDFCount_ECON,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,2
L8,WDPCount_ECON,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,2
L2,WHAScore_ECON,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,2
L4,WHLScore_ECON,LSMInfluencer,LocaleC1C2,,C1C2RatioLT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,2
L3,WHOScore_ECON,LSMInfluencer,LocaleC1C2,,C1C2RatioGT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,2
L5,WPAScore_ECON,LSMInfluencer,LocaleC1C2,,C1C2RatioLT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,2
,WTOILClose,LSMInfluencer,LocaleNone,,SingleValGT,-90,-31,-30,-1,0.6,0.4,0.001,-0.001,1
