Date,USDJPYEXClose,USDJPYHSRatio,,USD HS,JPY HS
1/1/22,115.17,38.27252378,,"1,787","68,393"
1/2/22,115.17,38.27252378,,"1,787","68,393"
1/3/22,115.27,38.27252378,,"1,787","68,393"
1/4/22,116.12,38.27252378,,"1,787","68,393"
1/5/22,115.91,38.27252378,,"1,787","68,393"
1/6/22,115.78,38.27252378,,"1,787","68,393"
1/7/22,115.61,38.27252378,,"1,787","68,393"
1/8/22,115.61,38.27252378,,"1,787","68,393"
1/9/22,115.61,38.27252378,,"1,787","68,393"
1/10/22,115.14,38.27252378,,"1,787","68,393"
1/11/22,115.38,38.27252378,,"1,787","68,393"
1/12/22,114.74,38.27252378,,"1,787","68,393"
1/13/22,114.06,38.27252378,,"1,787","68,393"
1/14/22,113.89,38.27252378,,"1,787","68,393"
1/15/22,113.89,38.27252378,,"1,787","68,393"
1/16/22,113.89,38.27252378,,"1,787","68,393"
1/17/22,113.89,38.27252378,,"1,787","68,393"
1/18/22,114.6,38.27252378,,"1,787","68,393"
1/19/22,114.28,38.27252378,,"1,787","68,393"
1/20/22,114.08,38.27252378,,"1,787","68,393"
1/21/22,113.72,38.27252378,,"1,787","68,393"
1/22/22,113.72,38.27252378,,"1,787","68,393"
1/23/22,113.72,38.27252378,,"1,787","68,393"
1/24/22,113.82,38.27252378,,"1,787","68,393"
1/25/22,113.88,38.27252378,,"1,787","68,393"
1/26/22,114.33,38.27252378,,"1,787","68,393"
1/27/22,115.47,38.27252378,,"1,787","68,393"
1/28/22,115.21,38.27252378,,"1,787","68,393"
1/29/22,115.21,38.27252378,,"1,787","68,393"
1/30/22,115.21,38.27252378,,"1,787","68,393"
1/31/22,115.22,35.7639305,,"1,669","59,690"
2/1/22,114.77,35.7639305,,"1,669","59,690"
2/2/22,114.36,35.7639305,,"1,669","59,690"
2/3/22,114.88,35.7639305,,"1,669","59,690"
2/4/22,115.22,35.7639305,,"1,669","59,690"
2/5/22,115.22,35.7639305,,"1,669","59,690"
2/6/22,115.22,35.7639305,,"1,669","59,690"
2/7/22,115.09,35.7639305,,"1,669","59,690"
2/8/22,115.62,35.7639305,,"1,669","59,690"
2/9/22,115.44,35.7639305,,"1,669","59,690"
2/10/22,115.84,35.7639305,,"1,669","59,690"
2/11/22,115.91,35.7639305,,"1,669","59,690"
2/12/22,115.91,35.7639305,,"1,669","59,690"
2/13/22,115.91,35.7639305,,"1,669","59,690"
2/14/22,115.72,35.7639305,,"1,669","59,690"
2/15/22,115.64,35.7639305,,"1,669","59,690"
2/16/22,115.41,35.7639305,,"1,669","59,690"
2/17/22,115.03,35.7639305,,"1,669","59,690"
2/18/22,115.08,35.7639305,,"1,669","59,690"
2/19/22,115.08,35.7639305,,"1,669","59,690"
2/20/22,115.08,35.7639305,,"1,669","59,690"
2/21/22,115.08,35.7639305,,"1,669","59,690"
2/22/22,114.94,35.7639305,,"1,669","59,690"
2/23/22,115.12,35.7639305,,"1,669","59,690"
2/24/22,115.45,35.7639305,,"1,669","59,690"
2/25/22,115.62,35.7639305,,"1,669","59,690"
2/26/22,115.62,35.7639305,,"1,669","59,690"
2/27/22,115.62,35.7639305,,"1,669","59,690"
2/28/22,115.11,36.48447205,,"1,771","64,614"
3/1/22,114.87,36.48447205,,"1,771","64,614"
3/2/22,115.59,36.48447205,,"1,771","64,614"
3/3/22,115.67,36.48447205,,"1,771","64,614"
3/4/22,114.65,36.48447205,,"1,771","64,614"
3/5/22,114.65,36.48447205,,"1,771","64,614"
3/6/22,114.65,36.48447205,,"1,771","64,614"
3/7/22,115.41,36.48447205,,"1,771","64,614"
3/8/22,115.64,36.48447205,,"1,771","64,614"
3/9/22,115.87,36.48447205,,"1,771","64,614"
3/10/22,116.05,36.48447205,,"1,771","64,614"
3/11/22,117.08,36.48447205,,"1,771","64,614"
3/12/22,117.08,36.48447205,,"1,771","64,614"
