Date,USDJPYEXClose,USDAUDEXClose,USDJPYDRRatio,USAUDDRRatio,JPYAUDDRRatio,USDJPYURRatio,USDAUDURRatio,JPYAUDURRatio,USDJPYMSRatio,USDAUDMSRatio,JPYAUDMSRatio,USDJPYCCRatio,USDAUDCCRatio,JPYAUDCCRatio,USDJPYGDRatio,USDUADGDRatio,JPYAUDGDRatio
2/26/86,181.15,1.411233,,,,2.48,1.16,0.35,0.01,26.18,4375.08,,0.93,,0.67,4.54,6.79
2/27/86,180.15,1.43472,,,,2.48,1.16,0.35,0.01,26.18,4375.08,,0.93,,0.67,4.54,6.79
2/28/86,180.55,1.430001,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/1/86,180.55,1.430001,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/2/86,180.55,1.430001,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/3/86,179.65,1.436163,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/4/86,179,1.426534,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/5/86,180.48,1.42288,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/6/86,179.3,1.427348,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/7/86,179.45,1.424299,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/8/86,179.45,1.424299,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/9/86,179.45,1.424299,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/10/86,180.7,1.425314,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/11/86,179.9,1.41844,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/12/86,180.39,1.420455,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/13/86,179.5,1.419446,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/14/86,176.67,1.422071,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/15/86,176.67,1.422071,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/16/86,176.67,1.422071,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/17/86,175.59,1.411831,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/18/86,175.19,1.402918,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/19/86,177.07,1.408451,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/20/86,176.13,1.402328,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/21/86,175.86,1.401149,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/22/86,175.86,1.401149,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/23/86,175.86,1.401149,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/24/86,178.73,1.392564,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/25/86,180.03,1.386963,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/26/86,179.63,1.403706,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/27/86,179.54,1.404297,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/28/86,168.41,1.403509,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/29/86,168.41,1.403509,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/30/86,168.41,1.403509,,,,2.77,1.11,0.33,0.01,26.24,4220.54,,0.92,,0.67,4.54,6.79
3/31/86,170.52,1.405284,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/1/86,177.75,1.385042,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/2/86,179.22,1.392952,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/3/86,179.4,1.398015,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/4/86,180.21,1.3947,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/5/86,180.21,1.3947,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/6/86,180.21,1.3947,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/7/86,182.9,1.393534,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/8/86,179.99,1.388889,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/9/86,179.9,1.392564,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/10/86,179.14,1.400168,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/11/86,178.1,1.396648,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/12/86,178.1,1.396648,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/13/86,178.1,1.396648,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/14/86,179.09,1.395089,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/15/86,178.46,1.400364,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/16/86,176.58,1.393534,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/17/86,175.59,1.396453,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/18/86,174.16,1.393728,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/19/86,174.16,1.393728,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/20/86,174.16,1.393728,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/21/86,171.96,1.387925,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/22/86,169.72,1.370426,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/23/86,168.01,1.369863,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
4/24/86,168.64,1.368738,,,,2.67,1.1,0.34,0.01,26.11,4415.77,,0.92,,0.67,4.54,6.79
